participant,item,answer,group,lang,native,Frequent,LIKERT,MINT,,,,NIVEL
1,lapices,0,L2SP,SP,0,f,5,19,,,,B
1,jardines,0,L2SP,SP,0,nf,3,19,,,,
1,coches,0,L2SP,SP,0,f,3,19,,,,
1,paises,0,L2SP,SP,0,f,5,19,,,,
1,puentes,0,L2SP,SP,0,nf,5,19,,,,
1,peines,0,L2SP,SP,0,nf,1,19,,,,
1,masacres,0,L2SP,SP,0,nf,1,19,,,,
1,sobres,0,L2SP,SP,0,nf,1,19,,,,
1,leches ,0,L2SP,SP,0,f,1,19,,,,
1,soledades,0,L2SP,SP,0,nf,3,19,,,,
1,muertes ,1,L2SP,SP,0,f,3,19,,,,
1,arboles,0,L2SP,SP,0,f,5,19,,,,
1,buzones,0,L2SP,SP,0,nf,5,19,,,,
1,calles,0,L2SP,SP,0,f,1,19,,,,
1,carnes ,0,L2SP,SP,0,nf,1,19,,,,
1,clases,0,L2SP,SP,0,f,1,19,,,,
2,lapices,1,L2SP,SP,0,f,7,18,,,,B
2,jardines,0,L2SP,SP,0,nf,1,18,,,,
2,coches,1,L2SP,SP,0,f,4,18,,,,
2,paises,1,L2SP,SP,0,f,5,18,,,,
2,puentes,1,L2SP,SP,0,nf,3,18,,,,
2,peines,0,L2SP,SP,0,nf,2,18,,,,
2,masacres,1,L2SP,SP,0,nf,3,18,,,,
2,sobres,1,L2SP,SP,0,nf,1,18,,,,
2,leches ,1,L2SP,SP,0,f,5,18,,,,
2,soledades,0,L2SP,SP,0,nf,1,18,,,,
2,muertes ,1,L2SP,SP,0,f,5,18,,,,
2,arboles,1,L2SP,SP,0,f,4,18,,,,
2,buzones,0,L2SP,SP,0,nf,3,18,,,,
2,calles,1,L2SP,SP,0,f,7,18,,,,
2,carnes ,1,L2SP,SP,0,nf,2,18,,,,
2,clases,1,L2SP,SP,0,f,5,18,,,,
3,lapices,1,L2SP,SP,0,f,3,12,,,,B
3,jardines,0,L2SP,SP,0,nf,1,12,,,,
3,coches,1,L2SP,SP,0,f,4,12,,,,
3,paises,0,L2SP,SP,0,f,2,12,,,,
3,puentes,0,L2SP,SP,0,nf,1,12,,,,
3,peines,0,L2SP,SP,0,nf,1,12,,,,
3,masacres,0,L2SP,SP,0,nf,1,12,,,,
3,sobres,0,L2SP,SP,0,nf,1,12,,,,
3,leches ,1,L2SP,SP,0,f,4,12,,,,
3,soledades,0,L2SP,SP,0,nf,2,12,,,,
3,muertes ,1,L2SP,SP,0,f,4,12,,,,
3,arboles,1,L2SP,SP,0,f,4,12,,,,
3,buzones,0,L2SP,SP,0,nf,2,12,,,,
3,calles,1,L2SP,SP,0,f,4,12,,,,
3,carnes ,0,L2SP,SP,0,nf,1,12,,,,
3,clases,0,L2SP,SP,0,f,2,12,,,,
4,lapices,1,L2SP,SP,0,f,5,27,,,,B
4,jardines,1,L2SP,SP,0,nf,2,27,,,,
4,coches,1,L2SP,SP,0,f,6,27,,,,
4,paises,1,L2SP,SP,0,f,5,27,,,,
4,puentes,1,L2SP,SP,0,nf,2,27,,,,
4,peines,1,L2SP,SP,0,nf,2,27,,,,
4,masacres,1,L2SP,SP,0,nf,3,27,,,,
4,sobres,0,L2SP,SP,0,nf,2,27,,,,
4,leches ,1,L2SP,SP,0,f,5,27,,,,
4,soledades,1,L2SP,SP,0,nf,3,27,,,,
4,muertes ,1,L2SP,SP,0,f,6,27,,,,
4,arboles,1,L2SP,SP,0,f,6,27,,,,
4,buzones,1,L2SP,SP,0,nf,3,27,,,,
4,calles,1,L2SP,SP,0,f,5,27,,,,
4,carnes ,1,L2SP,SP,0,nf,3,27,,,,
4,clases,1,L2SP,SP,0,f,5,27,,,,
5,lapices,1,L2SP,SP,0,f,7,23,,,,B
5,jardines,0,L2SP,SP,0,nf,3,23,,,,
5,coches,1,L2SP,SP,0,f,7,23,,,,
5,paises,1,L2SP,SP,0,f,7,23,,,,
5,puentes,1,L2SP,SP,0,nf,2,23,,,,
5,peines,0,L2SP,SP,0,nf,2,23,,,,
5,masacres,0,L2SP,SP,0,nf,1,23,,,,
5,sobres,0,L2SP,SP,0,nf,2,23,,,,
5,leches ,1,L2SP,SP,0,f,6,23,,,,
5,soledades,0,L2SP,SP,0,nf,4,23,,,,
5,muertes ,1,L2SP,SP,0,f,7,23,,,,
5,arboles,1,L2SP,SP,0,f,7,23,,,,
5,buzones,0,L2SP,SP,0,nf,4,23,,,,
5,calles,1,L2SP,SP,0,f,6,23,,,,
5,carnes ,1,L2SP,SP,0,nf,2,23,,,,
5,clases,1,L2SP,SP,0,f,7,23,,,,
6,lapices,1,L2SP,SP,0,f,4,58,,,,A
6,jardines,1,L2SP,SP,0,nf,1,58,,,,
6,coches,1,L2SP,SP,0,f,2,58,,,,
6,paises,1,L2SP,SP,0,f,3,58,,,,
6,puentes,1,L2SP,SP,0,nf,1,58,,,,
6,peines,1,L2SP,SP,0,nf,1,58,,,,
6,masacres,1,L2SP,SP,0,nf,1,58,,,,
6,sobres,1,L2SP,SP,0,nf,1,58,,,,
6,leches ,1,L2SP,SP,0,f,3,58,,,,
6,soledades,1,L2SP,SP,0,nf,1,58,,,,
6,muertes ,1,L2SP,SP,0,f,4,58,,,,
6,arboles,1,L2SP,SP,0,f,2,58,,,,
6,buzones,1,L2SP,SP,0,nf,2,58,,,,
6,calles,1,L2SP,SP,0,f,4,58,,,,
6,carnes ,1,L2SP,SP,0,nf,1,58,,,,
6,clases,1,L2SP,SP,0,f,3,58,,,,
7,lapices,1,L2SP,SP,0,f,6,33,,,,I
7,jardines,0,L2SP,SP,0,nf,2,33,,,,
7,coches,1,L2SP,SP,0,f,7,33,,,,
7,paises,1,L2SP,SP,0,f,4,33,,,,
7,puentes,0,L2SP,SP,0,nf,3,33,,,,
7,peines,0,L2SP,SP,0,nf,2,33,,,,
7,masacres,0,L2SP,SP,0,nf,1,33,,,,
7,sobres,1,L2SP,SP,0,nf,3,33,,,,
7,leches ,1,L2SP,SP,0,f,4,33,,,,
7,soledades,0,L2SP,SP,0,nf,4,33,,,,
7,muertes ,1,L2SP,SP,0,f,4,33,,,,
7,arboles,1,L2SP,SP,0,f,7,33,,,,
7,buzones,1,L2SP,SP,0,nf,5,33,,,,
7,calles,1,L2SP,SP,0,f,5,33,,,,
7,carnes ,1,L2SP,SP,0,nf,1,33,,,,
7,clases,1,L2SP,SP,0,f,4,33,,,,
8,lapices,1,L2SP,SP,0,f,6,35,,,,I
8,jardines,1,L2SP,SP,0,nf,3,35,,,,
8,coches,1,L2SP,SP,0,f,2,35,,,,
8,paises,1,L2SP,SP,0,f,3,35,,,,
8,puentes,1,L2SP,SP,0,nf,2,35,,,,
8,peines,1,L2SP,SP,0,nf,2,35,,,,
8,masacres,1,L2SP,SP,0,nf,2,35,,,,
